,Tweets,Dates
27,"フォロワ諸氏、今後一ヶ月間位はなるべく人混みに出ない事をおすすめします。万が一とは思うけども、万が一でもSARSは洒落にならん。主たる感染経路は飛沫感染だそうです。空気も疑いありとか。
外に出る際には必ずマスク。手洗いうがい帰宅即… https://t.co/Jq0gwq17lm",2020-01-16
28,"#16Ene China no descarta contagio de neumonía similar al SARS entre humanos https://t.co/Vrj9zreAo7

#China… https://t.co/PsZiFbqxsi",2020-01-16
29,@business Ah hell. SARS is back???,2020-01-16
30,"psフレンドになりたい人は
hyaruru sars に送ってください💦",2020-01-16
31,"中国でコロナウィルスによる肺炎が流行しているので調べてみたら、SARSも中国で流行したコロナウィルスによる病気なのですね。
そう考えるとなかなか怖いですね。

手洗いうがいや充分な栄養と睡眠は重要ですね。",2020-01-16
32,"China's new SARS-like coronavirus has spread to Japan, but we still know very little about it - CNN https://t.co/6pwaQAsTmj",2020-01-16
33,Chileeeeeee not SARS https://t.co/xT6rG5HoB6,2020-01-16
34,中国ってSARS以降出入国時の検疫体制強化したんじゃなかったか…？,2020-01-16
35,"JCCテレビすべて
・厚底シューズ 好記録続出も…使用禁
・厚底シューズ 好記録続出も 禁止可
・好記録続出 厚底シューズ 使用禁止
・トップ選手使用 厚底シューズ使用禁
・大津 園児死亡事故 判決言い渡し延
・新型ウイルス肺炎… https://t.co/ZQTiNP1o3B",2020-01-16
36,"China's new SARS-like virus has spread to Japan, but we still know very little about it | Via CNN https://t.co/UwBMdpoAcc",2020-01-16
37,"@eldinhadzic_ SARS is more mild than MERS, but they're similar strains",2020-01-16
38,中国の新型ウィルス、とっくに日本に感染者が入国してたとのこと。SARSのときも水際阻止とか言ってたけど全く無理だったし、下旬には春節で中国人が大量にやってくるのでそれはとても無理。感染者がたくさんやってくることを前提に、日本国内で… https://t.co/P5SFjSATIf,2020-01-16
39,@kerotto SARSのときもそうだったんですか。僕はそのころはまだ中国とは縁がなかったので、2009年のことだったと思います。,2020-01-16
40,"End SARS! End SARS!! 

Two seconds ...https://t.co/wclZTV1od5",2020-01-16
41,Nagkatawa nga naluoy si Sars nako ganena sa akoang kahimtang samtang gabitbit kog cellophane ug libro tapos naa pay… https://t.co/NPLZn1raET,2020-01-16
42,@gs_tontix Si sars tsaka si you know. Hahah.,2020-01-16
43,Japan confirms its first case of the SARS-like coronavirus  https://t.co/1zqrrE2brJ,2020-01-16
44,"JCCテレビすべて
・好記録続出 厚底シューズ 使用禁止
・トップ選手使用 厚底シューズ使用禁
・大津 園児死亡事故 判決言い渡し延
・新型ウイルス肺炎 遺伝子「SARS
・新幹線のバリアフリー 国土交通相 
・ 決断 に街の声は… https://t.co/CkpTYN0R5g",2020-01-16
45,"2003年の #SARS パニック。
感染者を診察した #台湾 の医師が日本を観光したと報道された途端みんな「日本を鎖国するしかない！」とか騒いだよね。

注意も予防もするが、不必要に怖がって騒がない。

それが一番だと思う。

#新型コロナウイルス 
#新型肺炎",2020-01-16
46,"Is anime safe to watch???

""Japan confirms its first case of the SARS-like coronavirus""  https://t.co/0R8IfUpJSa",2020-01-16
47,"hmm... Anyways, the VP has always been consistent with his stance on state policing being the way to go plus the ex… https://t.co/EkoXaUTkYN",2020-01-16
48,@Vodaa__ When ll men stop killing themselves? E.g SARS,2020-01-16
49,@LesothoRevenue I guess we will match and even surpass SARS in efficiency and delivery 👌🏽,2020-01-16
50,"From 2003 SARS (a shock to China Public Health response), to 2013 H7N9 (where I was in Shanghai for my medical trai… https://t.co/TvhzQcqYgP",2020-01-16
51,Hells bells ... as if dealing with current challenges ... Quitter Megan / Abuser Andrew / Ghost Maxwell / Brexit /… https://t.co/tzOvkXF44v,2020-01-16
52,"어릴 때 엄마한테 많이웃는다고 보기싫고 시끄럽다고 뒤지게 맞아본 적 있는데 오늘도 노래들으면서 춤추다가 욕 얻어먹음 ㅋㅋㅋㅋ
잊고있다가 갑자기 또 생각나네 존나아팠음 걍 나 싫어하나봐",2020-01-16
53,Japan confirms its first case of the SARS-like coronavirus https://t.co/7IN6exdy7y,2020-01-16
54,@ClengAsher13 Ayaw pa magsend nung akin hahahaha dami ko tawa gaway kauna-unahan ay yung naka shades si ate sars 😂😎,2020-01-16
55,「もやしもん」読者なら知っているSARSコロナウイルス。 https://t.co/OiUMysqLrZ,2020-01-16
56,"ニュースで新型肺炎のことやってるけど怖い
もうすぐ台湾に帰るもん。台湾と中国近いし、昔のSARSも台湾ひどかったから",2020-01-16
57,Japan confirms its first case of the SARS-like coronavirus  https://t.co/YxTuvLRTO4,2020-01-16
58,Japan has a case of the new coronavirus of concern in the Chinese penumonia outbreak. An important development but… https://t.co/QPAsKvdAmT,2020-01-16
59,"SARSの騒ぎから17年。
あの時はワクチンや治療法が確立しないうちに感染拡大が止まったと記憶しているが、17年経った今、迅速に大量のワクチンを作る技術革新は無いのか？

日本のバイオだと、カイオムのヒトアドリブ？免疫生物のカイコ？

。。。まだまだっぽいな😢",2020-01-16
60,"China’s swift identification and handling of the Wuhan pneumonia outbreak should be commended, @annie_sparrow and D… https://t.co/DZOIwvLhbv",2020-01-16
61,Japan confirms its first case of the SARS-like coronavirus  https://t.co/DipEDaksiX #Japan,2020-01-16
62,SARSを思い出すよな、あれは16年前だったか…,2020-01-16
63,So SARS came to an hotel around here and arrested all the guys with a married woman that came with another man for… https://t.co/DzCeNi0Spt,2020-01-16
64,"@MitukoF 中国国内でも大移動で拡大しそうだよね💦
ツイ―トでSARSは中国人がジャコウ猫を食べたのが原因だったって！
本当？",2020-01-16
65,Japan confirms its first case of the SARS-like coronavirus  https://t.co/vS3OhsNcEJ,2020-01-16
66,"「＃新型コロナウイルス」 遺伝子の型「＃SARS」と類似 | NHK:2020.1/16-20:10
中国湖北省武漢で検出され、国内でも確認された新型コロナウイルスについて、遺伝子の型が2003年に中国やアジア各地で広がった新型肺… https://t.co/cpQRLmXRSA",2020-01-16
67,"JCCテレビすべて
・新型ウイルス肺炎 遺伝子「SARS
・新幹線のバリアフリー 国土交通相 
・ 決断 に街の声は…
・もう一つの 代替わり 23歳がデビ
・「歌会始」の舞台裏
・ バンコクの渋滞を #AI で解[2]
・検証2… https://t.co/3GNlCNXoDS",2020-01-16
68,"@hanrongli 在國外(包括香港)都出現病例，這些病患都到過武漢.
在牆國內卻只有武漢出現病例，不合常理。
合理推測，應有到過武漢的外省住民，離開武漢之後，在牆國內的其他省分，也發了病，但是疫情被CCP掩蓋。
隱瞞疫情是很危… https://t.co/lQmXH0v5q2",2020-01-16
69,@Betty_Ekems @KhidKhordi @sochiblaise Even sars killing their fellow men,2020-01-16
70,"China’s new SARS-like virus has spread to Thailand, but we still know very little about it – CNN International… https://t.co/W82giFHdit",2020-01-16
71,Someone on this flight has the strongest perfume on and I can’t stop sneezing lol. People are looking at me like I have SARS,2020-01-16
72,Japan confirms its first case of the SARS-like coronavirus  https://t.co/KalanAKoeu,2020-01-16
73,@nikkei 新型、新型と言ってるけどSARSに変異する前の段階かもしれない。,2020-01-16
74,"大陸でウイルス発生すると、SARSも豚コレラも全部台湾に流れてきて、いつも台湾がそばづえを食う羽目になる
今回の新型コロナウィルスはまだ台湾に来てないようだけど時間の問題かも",2020-01-16
75,"@5757aqua SARSにMARSの再来ですからねぇ
これからどうなるか分からんですね",2020-01-16
76,"""Japan confirms its first case of the SARS-like coronavirus""  https://t.co/vDWnQgAs3l",2020-01-16
77,SARSやMERSでも隔離を強化して，パンデミックを終わらせているんだし，コロナウイルスのワクチンを作るのに数年かかるとは言われているけど，隔離で終わらせられるなら，ワクチンの需要なんて無いから作らないと思う．,2020-01-16
78,ええ、SARSやMARSにもなる？新型肺炎は国内でまだ発症はしてないみたいなこと一昨日習ったばっかりなのに、国内初確認したはやばいで,2020-01-16
79,@remonwangxt 经历SARS的香港人都说当年一开始也似乎传染力没表现出很强，同时官方说多少多少人已经治愈出院。后来的事实证明，完全没有阻断病毒传染，反而出现了巨大的爆发。,2020-01-16
80,"・ヒトからヒトへ感染するかは不明
・仮に感染するとしても感染力は低い
・SARSのような重症度にはならない
・死亡した方は肝疾患と悪性疾患持ちだった

注視は必要だが、過度に恐れる必要はないとの事。扇状的な情報には気を付けた方がい… https://t.co/mMhrRmg73V",2020-01-16
81,"コロナウイルスは風邪で検出されるウイルスだけど、一部重症化するSARSやMERSがあった。

今回は、今まで分離されてたコロナウイルスとは型が違うもの https://t.co/35pB4sT50z",2020-01-16
82,Japan confirms its first case of the SARS-like coronavirus  https://t.co/jkr8oNWh8e @patel4witham @DrJimmyStar #CountrySuper,2020-01-16
83,New SARS-Like Virus in China May Spread Between People in Limited Cases | Live Science | @scoopit https://t.co/p1H1TyBaId,2020-01-16
84,"これSARSの時と同じ流れじゃん。
中国“謎の肺炎”「人から感染」の可能性浮上(20/01/15) https://t.co/RulixNQTjH",2020-01-16
85,This is the shit people need to worry about. SARS was one of the worst outbreaks comparable to the Black Plague. Th… https://t.co/yXhEaksJTJ,2020-01-16
86,I've been going  High court and SARS road for too long now can I just finish with everything already. 😭,2020-01-16
87,@xiaotuanzi2016 それってSARSの時だったような？記憶が曖昧ですが…,2020-01-16
88,"コロナウイルスは本当に恐ろしいウイルスです。
変異して人間にはSARSやマーズという伝染病に
猫には変異して死病に",2020-01-16
89,"サブ毎日あるー😳❤️
コロナの遺伝子の型がSARSに類似してるらしいからラファさんの話ありえるかも…
私親不知2本しか無かった！進化系！笑
視力が回復するラファさん
地震予測できるイーサン
XMENか何かかな？w
「誤差！」って必… https://t.co/fUaxbl1j7z",2020-01-16
90,#Japan confirms its first case of the SARS-like coronavirus  https://t.co/Z86uD23MBg #Health,2020-01-16
91,"CNN: China's new SARS-like virus has spread to Japan, but we still know very little about it.
https://t.co/1Akorhlh77

via @GoogleNews",2020-01-16
92,"me: lets see what the news is this morning
the news: first case of SARs like virus found in Japan
me: 🙅‍♀️ nvmd",2020-01-16
93,China SARS-like coronavirus spreads to Japan as epidemic fears grow https://t.co/oV1qQK3kVE,2020-01-16
94,LOOKUP好きなんだけどわかる？(ง˘ω˘)ว,2020-01-16
95,"Japan has confirmed its first case of the new coronavirus, a SARS-like flu that first appeared in Wuhan, China.

Mo… https://t.co/guCnxOPe75",2020-01-16
96,"By mid-December 2019, the Panel had rigorously engaged with 55 substantive submissions, among a number of issues, t… https://t.co/VbjGQObojv",2020-01-16
97,@erigganewmoney 😂😂😂😂 Awon Sars bayi.,2020-01-16
98,Deadly ChiCom unknown virus spreading to Japan and soon the world. https://t.co/JQeE077f2R,2020-01-16
99,@cyouhatsu07 2003年、中国でSARSが流行りましたね。,2020-01-16
100,どのみち日本に持ち込まれてんなぁ…SARSの二の舞いならんとええけど,2020-01-16
101,Canadian scientist remains cautious of new coronavirus: ‘It is very reminiscent of SARS’ | @scoopit https://t.co/cfd1tGe4IR,2020-01-16
102,@kimuramoriyo SARSのときの先生カッコ良かった！,2020-01-16
103,Here we go again fucking Chinese sars has spread from China to japan. Next stop San Francisco United States https://t.co/04LSYrKM9r,2020-01-16
104,"New SARS virus could spread between humans, warns China | @scoopit https://t.co/4XZcz2JqI1",2020-01-16
105,@cgldrsn Ohh migren çok kötü bişey Allah kolaylık versin,2020-01-16
106,"nCoV(the new coronavirus, like SARS) has spread to Japan.

https://t.co/aC3E78JK6S",2020-01-16
107,"@bee_emm91 I still have a scar on my nose from wearing masks during SARS!!! I will put on a mask without shame, I bought pink ones",2020-01-16
108,sars,2020-01-16
109,Japan confirms first case of new SARS-like virus in traveler https://t.co/G7vPaHuVrz,2020-01-16
110,"現時点で中国で確認されてる発症例は40数件、死者1名だがSARSやMARSよりも感染力や致命率は低いと言われてる。
パンデミックになる可能性は低い。
つまり今は新型肺炎に戦々恐々とするよりも毎年恒例のインフルエンザ対策をしっかりす… https://t.co/HD6RQdtOx8",2020-01-16
111,"Khawatir Penyebaran Virus Corona SARS, KBRI Beijing Imbau WNI Tetap Waspada https://t.co/YI5tAKBYEH lewat @Notif Indonesia",2020-01-16
112,"China's new SARS-like virus has spread to Japan, but we still know very little about it https://t.co/ClFj7nyX0j",2020-01-16
113,"@Bard_Boi_ Atimes....Dressing &amp; Apperance also matter in SARs carrying issue.
@Bard_Boi_",2020-01-16
114,コロナウイルスは６種類が深刻な呼吸器疾患を引き起こすことがあるSARS-CoV（重症急性呼吸器症候群コロナウイルス）とMERS-CoV（中東呼吸器症候群コロナウイルス）以外は感染しても通常の風邪などの重度でない症状にとどまります。 https://t.co/ZpdVTMld1Z,2020-01-16
115,The last known SARS outbreak was in China in 2004. It spread to over 24 countries; &gt;700 people died before it was c… https://t.co/TWRxn5TScg,2020-01-16
116,"SARS begins with a high fever, and symptoms often mimic a GI tract virus or bronchitis-like illness. it will often… https://t.co/HatkhErraE",2020-01-16
117,"SARS is a coronavirus, which is a species of virus that gets its name from its crown-like shape. coronavirus can be… https://t.co/n8O1toW9ss",2020-01-16
118,"*takes off hoodie, puts on lab coat*

today we are going to learn about SARS. SARS is Severe Acute Respiratory Synd… https://t.co/OaqT51HQAI",2020-01-16
119,"@fonstuinstra Here's an interesting one... while @CPofCN China says it has contained this new SARS-Like Virus, case… https://t.co/HtqVQ3x8JG",2020-01-16
120,Japan confirms its first case of the SARS-like coronavirus  https://t.co/FV9BIMeGAF,2020-01-16
121,Japan confirms its first case of the SARS-like coronavirus  https://t.co/dOFUUP2e25,2020-01-16
122,"@remonwangxt 大家看看维基百科关于SARS事件的记录。看看当年SARS开始两个多月的时候，他们是如何撒谎成性的。
https://t.co/ixwfV0akHK",2020-01-16
123,"""Japan confirms its first case of the SARS-like coronavirus""  https://t.co/sygHU3Ziow",2020-01-16
124,Japan confirms its first case of the SARS-like coronavirus  https://t.co/L1AZ6yogXj,2020-01-16
125,SARS-like coronavirus spreads from China to Japan as epidemic fears grow - Daily Star | @scoopit https://t.co/RjSvSNkV45,2020-01-16
126,The SARS like virus has moved into the General population and as a consequence the World Health Organisation has is… https://t.co/RQdE6M9YyD,2020-01-16
127,"2類感染症：ただちに届出をお願いします。
(1)急性灰白髄炎
(2)結核
(3)ジフテリア
(4)重症急性呼吸器症候群（病原体がコロナウイルス属ＳＡＲＳコロナウイルスであるものに限る）
(5)鳥インフルエンザ（Ｈ５Ｎ１）",2020-01-16
128,"Hustle o, make SARs no carry your guys, leave only you.",2020-01-16
129,"アメブロを更新しました。 『新型コロナウイルス 遺伝子の型「ＳＡＲＳ」と類似』 #イギリス #武漢
https://t.co/gFDFB28nDW",2020-01-16
130,@AmazinglyWoman Yes that fourth risk is weird. Why are those natural risks suddenly so much higher than in the past… https://t.co/th2xwGxLeL,2020-01-16
131,Japan confirms first case of new SARS-like virus from China: ⁦@suilee⁩  https://t.co/KRMQW64diD,2020-01-16
132,@mrmanhere_ Sars there he is... He is causing disturbance in the TL again... He is just too fine abeg https://t.co/D9ZqQcGw9D,2020-01-16
133,How to check if a SARS email or SMS is a scam https://t.co/RacTzCYEVp https://t.co/muCRTqMtr9,2020-01-16
134,中国の新型ウイルス肺炎、SARSの教訓生かす https://t.co/dNN5l4NxUJ @WSJさんから,2020-01-16
135,Fudge this reminds me of how that one guy in that kpop group died after going to china and getting sars 🙁 https://t.co/hrwuugBfzq,2020-01-16
136,@aonisai_nekotan 中国はSARSの時も報道管制してたし,2020-01-16
137,@_novio_ @Itz_Oshoke @OgbeniDipo Because dem Sars no be human being,2020-01-16
138,中国の新型肺炎ってSARSじゃなさそうってことだけどさ春節で全世界へ一気に拡散しそうな気がするのは自分だけなんかな？,2020-01-16
139,"@box217 先生いつもお世話になります。
国立感染症研究所の対策マニュアルになります。
画像はPDFをキャプチャしたものです。

wiki調べではありますが、コロナウィルス(SARS)はエタノール、石鹸で対応することが可能と思… https://t.co/Qx7fS1KGAi",2020-01-16
140,慌てながら電卓にとって靴下に穴が開き､おならの勢いでけつが裂けた。おかげでSARSの感染者も増える一方だ。,2020-01-16
141,"""Leo Poon, a virologist at the University of Hong Kong who was among the first to decode the SARS #coronavirus, sai… https://t.co/ZySjGmmWSW",2020-01-16
142,"""Japan confirms its first case of the SARS-like coronavirus""  https://t.co/77zWcFUHNL",2020-01-16
143,"@EngineerMs14 @BiggBoss_Tak @BluntIndianGirl @RealVinduSingh Takla top 2🤣🤣🤣🤣🤣🤣 kis duniya me ji rhe ho bhai ""SARS"" top4",2020-01-16
144,"@EricaSarc sorry, sars",2020-01-16
145,"@Billy_chilly Boys go to Jupiter to get more stupider

Girls go to Mars to get more SARS

- playground chants in '03",2020-01-16
146,The country has downplayed concerns it could be a reappearance of the SARS epidemic https://t.co/jSBqZ6JcjM,2020-01-16
147,"@RealityStriker @TDilema @KhulaniQoma @samkelemaseko Ok so lets look at it logically he ran sars, there was a scand… https://t.co/Cvl6aAY12p",2020-01-16
148,@haidrojyn SARS making the return after 17 years https://t.co/1KKRHHTV2Z,2020-01-16
149,"The president had gotten impeached, all of Australia is literally on fire, and ..... SARS is back????",2020-01-16
150,"@bb_tora 現地で肺炎患者と接触発病して自覚あって日本へ治療しにきてる時点でアレ
既にヒトからヒトへの感染、SARSなら致死率10%だけどさらに強力な未知のコロナウィルスで丁度春節の大移動が始まりはじめて、こんなヤバイ状況なのにオラワクワクしてきたぞw",2020-01-16
151,"#BreakingNews #BREAKING 
Japan confirms its first case of the SARS-like coronavirus  https://t.co/jkr8oNWh8e… https://t.co/W8Q2k5eAEu",2020-01-16
152,Anyone got a cure for Britain's version of sars aka s.a.d??,2020-01-16
153,@molratty SARS concert 2003 https://t.co/7Cij3pmOPp,2020-01-16
154,@erigganewmoney The whole system don spoil   ...... imagine SARS dey tell yahoo boys to teach him pikin work,2020-01-16
155,Is the Office of the Tax Ombud Independent of SARS?,2020-01-16
156,Japan Confirms First Case of New SARS-Like Virus in Traveler https://t.co/3N1Y1ljaGP,2020-01-16
157,@RealSeunKuti Remember we never finish with SARS and co,2020-01-16
158,"@LennToyan Nasty is released...worse than SARS...watch for them to die in 10 days, bleed out from head, stomach and… https://t.co/32Zrn8XGCA",2020-01-16
159,Nieuws update: Nieuw aan verkoudheid en sars verwant virus infecteert mensen in China https://t.co/e3LBlOAdoi Hulpverleningsforum,2020-01-16
160,"新型コロナウイルス 遺伝子の型「ＳＡＲＳ」と類似
https://t.co/v2m8N3taf3",2020-01-16
161,"@thidapana SARSのときは罹患者の足取りが詳細に発表されて、ここいらへんでも震撼したわ。同じ電車に乗り合わせたかも...かも...とか。
感染力が弱いのはせめてもの良いニュース。変異しませんように（- 人 -）",2020-01-16
162,"新型肺炎の名称どうなるんだろうか？
SARS2？
名称も付かずに落ち着いてくれればいいけど。

中東呼吸器症候群(MERS：Middle East Respiratory Syndrome)
MERSコロナウイルス

重症急性呼吸… https://t.co/rEQldthyCM",2020-01-16
163,"韓国、タイに続き、日本でもか。SARSの時と比べて、中国と諸外国の人の往来が桁違いだから、はるかに遠隔地へ感染しやすくなっている。
◆新型肺炎患者、国内で初確認　武漢に渡航歴：日本経済新聞 https://t.co/EboKaN3bCo",2020-01-16
164,"Damn, SARS is nasty to say the least. Here we go. https://t.co/CFEnXnq774",2020-01-16
165,#FactCheck: The DOH flags the chain message about a supposed case of SARS reported in a clinic at a mall in Metro M… https://t.co/P3V3J7845P,2020-01-16
166,武漢のコロナ、遺伝子がSARSに似てるからSARSのプライマーで検出できるらしいね。SARSが変異したのか、そもそも昔からいたやつが出てきたのか…,2020-01-16
167,"@Xq0SOZSaehXV0X5 そうやって放置したから
SARSでpandemicしたのにな^_^

流石、捏造ステーション
クソの役にも立たないわ",2020-01-16
168,"Mystery Sars-Like Virus Spreads to Japan, Pestilence Is Contagious, Virulent, and Devastating -… https://t.co/Ggk8230fQK",2020-01-16
169,"新型肺炎、日本で初確認　中国・武漢への渡航歴 https://t.co/UcBNcxakGu @Sankei_newsさんから
#MERS #SARS #口蹄疫 #リーマンショック",2020-01-16
170,ワシも１０年近く中国(上海･江蘇省)に赴任したけど、SARS流行ってた時期と重なってたから、風邪引いた状態で帰国する時は、イミグレーションは消炎剤欠かさず飲んで通過してたな。 https://t.co/psREpjueD2,2020-01-16
171,Japan confirms its first case of the SARS-like coronavirus  https://t.co/4TFfcZgVmT,2020-01-16
172,China SARS-like coronavirus spreads to Japan as epidemic fears grow https://t.co/T9HzRJaiKL,2020-01-16
173,"""Japan confirms its first case of the SARS-like coronavirus""  https://t.co/BuBTsVWtro",2020-01-16
174,⚡️ “Japan confirms its first case of the SARS-like coronavirus” by @QuickTake https://t.co/Ce5BjxATSx,2020-01-16
175,Imagine telling 9ja SARS you do ethical hacking. https://t.co/n0uOxu0jtP,2020-01-16
176,Japan confirms case of mystery virus related to deadly Sars https://t.co/pTEyKkcZ9r,2020-01-16
177,"@farirri @ademisireoluwa SARS stopped me from rocking my studs, dem say we be yahoo boys for rocking it 😢",2020-01-16
178,"If you earn R6,512 or less per month, you don't need to pay Personal Income Tax (PAYE), and if your employer is, yo… https://t.co/yqJRvO8s1F",2020-01-16
179,"冷静に見守ると共に国内での流行は絶対に避けなければ！
#新型コロナウイルス
#パンデミック絶対阻止

新型コロナウイルス 遺伝子の型「ＳＡＲＳ」と類似 | NHKニュース   https://t.co/QPkigTamdB",2020-01-16
180,"というより殆どは風邪．有識者間で見解が分かれるのも，一般的には「風邪」ですし，武漢でも思ったより感染者が少ないです．
種類によってはSARSもMERSも考えられますが，隔離で終わらせている以上，ワクチンは作れないかと． https://t.co/RzugIBEZqk",2020-01-16
181,"""Japan confirms its first case of the SARS-like coronavirus""  https://t.co/amfZknH1yk",2020-01-16
182,Coronavirus: Japan detects first case of deadly infection https://t.co/RFE3qAVclO,2020-01-16
183,@bexfranklin @Ajatz02 SARS no dey catch boys wey don register,2020-01-16
184,@constance_pudik @Tsietsi_Mohale 0800007277. This is a sars tollfree . Give them your personal details and ID and t… https://t.co/gpgn65VaZH,2020-01-16
185,"""Japan confirms its first case of the SARS-like coronavirus""  https://t.co/7PxhnAEx68",2020-01-16
186,LOL. All these Parkview shuttles go dey give person SARS PTSD 😫.,2020-01-16
187,😫😫😫 Japan confirms its first case of the SARS-like coronavirus  https://t.co/WDlDL2Rafs,2020-01-16
188,@EdKieswetter - Good day Sir please guide me of email address where I can follow up on documents submitted with no… https://t.co/ayUtILP4fa,2020-01-16
189,"@RubenGao @ShintaLISXiao""Japan confirms its first case of the SARS-like coronavirus""  https://t.co/TPxZ5JFtP4",2020-01-16
190,"⚡️ “Japan confirms its first case of the SARS-like coronavirus” by @QuickTake

https://t.co/Hjep1APnH0",2020-01-16
191,@AdejareSun @frankdonga_ Uncle said they were attacked. As in armed robbery abi SARS invation.,2020-01-16
192,"うちの会社は #中国 出張も多いので #新型コロナウイルス は心配よね～❗

同部屋他部署同僚も現在中国に出張中だし、中国事務所に出向してる者もいるからな…

昔流行った
#SARS を思い出す❗",2020-01-16
193,I’ve heard that there’s a new SARS-like virus spreading from China to Japan. I don’t know if that’s true. But I’m worried anyway.,2020-01-16
194,@erigganewmoney Correct! Mek dem cash d money wer dier fada hustle kip. SARS dey do broad day robbery diz days,2020-01-16
195,"""Japan confirms its first case of the SARS-like coronavirus""  https://t.co/rtVIu9MwQF",2020-01-16
196,"Have to queue at SARS, kweli langa. And what upsets me is, ndizophuma kubanda pha bcos kuse Bhayi apha, and akhonto inomkhondo eBhayi",2020-01-16
197,德專家：武漢「新型冠狀病毒」就是SARS https://t.co/xfufVXjGGW 来自 @ntdchinese,2020-01-16
198,新型コロナウイルス 遺伝子の型「ＳＡＲＳ」と類似 | NHKニュース   https://t.co/0rcPtkUbdC,2020-01-16
199,SARSとかMERSとかと違うの？,2020-01-16
200,"中国政府が  2002年の時の  SARSの時のように
また  隠蔽している  という噂は本当ですか？
#新型コロナウイルス   #報道ステーション",2020-01-16
201,"China's new SARS-like virus has spread to Japan, but we still know very little about it
https://t.co/q741p2pyKe",2020-01-16
